date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:02:59	285/285	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2019%20Nov%202022%2012:32:59%20GMT	http://www.seatcovershop.eu/car-seat-covers-configurator/suzuki-jimny-jb43-3	/home/sojappi/websites/host/www.seatcovershop.eu/car-seat-covers-configurator/suzuki-jimny-jb43-3.0.delayed	(from )
18:03:03	92156/92156	---MC-	200	added ('OK')	text/html	date:Sat,%2019%20Nov%202022%2012:33:01%20GMT	https://www.seatcovershop.eu/car-seat-covers-configurator/suzuki-jimny-jb43-3	/home/sojappi/websites/host/www.seatcovershop.eu/car-seat-covers-configurator/suzuki-jimny-jb43-3.html	(from )
18:03:03	5651/5651	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2019%20Nov%202022%2012:33:02%20GMT	https://www.seatcovershop.eu/robots.txt		(from )
18:03:03	361/361	---M--	200	added ('OK')	application/javascript	date:Mon,%2016%20Oct%202017%2012:21:01%20GMT	https://www.seatcovershop.eu/html/js/i18n/en.js	/home/sojappi/websites/host/www.seatcovershop.eu/html/js/i18n/en.js	(from https://www.seatcovershop.eu/car-seat-covers-configurator/suzuki-jimny-jb43-3)
18:03:07	92068/92068	---MC-	200	added ('OK')	text/html	date:Sat,%2019%20Nov%202022%2012:33:05%20GMT	https://www.huse.ro/configurator-huse-auto/suzuki-jimny-jb43-3	/home/sojappi/websites/host/www.huse.ro/configurator-huse-auto/suzuki-jimny-jb43-3.html	(from https://www.seatcovershop.eu/car-seat-covers-configurator/suzuki-jimny-jb43-3)
18:03:08	91963/91963	---MC-	200	added ('OK')	text/html	date:Sat,%2019%20Nov%202022%2012:33:07%20GMT	https://www.huzatok.hu/beallitoprogram/suzuki-jimny-jb43-3	/home/sojappi/websites/host/www.huzatok.hu/beallitoprogram/suzuki-jimny-jb43-3.html	(from https://www.seatcovershop.eu/car-seat-covers-configurator/suzuki-jimny-jb43-3)
18:03:10	92093/92093	---MC-	200	added ('OK')	text/html	date:Sat,%2019%20Nov%202022%2012:33:09%20GMT	https://www.coprisedili-auto.it/configuratore/suzuki-jimny-jb43-3	/home/sojappi/websites/host/www.coprisedili-auto.it/configuratore/suzuki-jimny-jb43-3.html	(from https://www.seatcovershop.eu/car-seat-covers-configurator/suzuki-jimny-jb43-3)
18:03:12	92158/92158	---MC-	200	added ('OK')	text/html	date:Sat,%2019%20Nov%202022%2012:33:11%20GMT	https://www.seatcovershop.co.uk/car-seat-covers-configurator/suzuki-jimny-jb43-3	/home/sojappi/websites/host/www.seatcovershop.co.uk/car-seat-covers-configurator/suzuki-jimny-jb43-3.html	(from https://www.seatcovershop.eu/car-seat-covers-configurator/suzuki-jimny-jb43-3)
18:03:13	190521/190521	---M--	200	added ('OK')	text/css	date:Wed,%2030%20Aug%202017%2009:26:23%20GMT	https://www.seatcovershop.eu/html/css/bundle.css	/home/sojappi/websites/host/www.seatcovershop.eu/html/css/bundle.css	(from https://www.seatcovershop.eu/car-seat-covers-configurator/suzuki-jimny-jb43-3)
18:03:14	6432/6432	---M--	200	added ('OK')	text/css	date:Tue,%2028%20Mar%202017%2013:35:58%20GMT	https://www.seatcovershop.eu/html/bootstrap-select/bootstrap-select.min.css	/home/sojappi/websites/host/www.seatcovershop.eu/html/bootstrap-select/bootstrap-select.min.css	(from https://www.seatcovershop.eu/car-seat-covers-configurator/suzuki-jimny-jb43-3)
